"seqname","source","feature","start","end","score","strand","frame","gene_id","transcript_id","class_code","exon_number","gene_name","nearest_ref","oId","tss_id"
"chr11","Cufflinks","exon",114186553,114186674,".","-",".","XLOC_012134","TCONS_00033334","=",2,"1700001J04Rik","ENSMUST00000154037.1","ENSMUST00000126577.1","TSS20885"
"chr15","Cufflinks","exon",83365029,83365513,".","-",".","XLOC_024075","TCONS_00060112","=",3,"1700001L05Rik","ENSMUST00000178628.7","ENSMUST00000179705.1","TSS38657"
"chr3","Cufflinks","exon",143411277,143411532,".","+",".","XLOC_040946","TCONS_00104507","=",2,"1700001N15Rik","ENSMUST00000199380.1","ENSMUST00000199380.1","TSS66722"
"chr5","Cufflinks","exon",11691840,11692027,".","-",".","XLOC_049944","TCONS_00129487","=",2,"1700003C15Rik","ENSMUST00000185360.2","ENSMUST00000185360.2","TSS82343"
"chr11","Cufflinks","exon",98355423,98355487,".","-",".","XLOC_011822","TCONS_00032357","=",2,"1700003D09Rik","ENSMUST00000141929.1","ENSMUST00000141929.1","TSS20236"
"chrX","Cufflinks","exon",93156527,93156873,".","+",".","XLOC_069539","TCONS_00183477","=",2,"1700003E24Rik","ENSMUST00000088134.3","ENSMUST00000088134.3","TSS115579"
"chr9","Cufflinks","exon",45321967,45322079,".","-",".","XLOC_067578","TCONS_00178103","=",4,"1700003G13Rik","ENSMUST00000129215.7","ENSMUST00000131342.1","TSS112254"
"chr7","Cufflinks","exon",116086627,116086755,".","-",".","XLOC_061155","TCONS_00160891","=",2,"1700003G18Rik","ENSMUST00000140689.7","ENSMUST00000140689.7","TSS101631"
"chr6","Cufflinks","exon",149215091,149215185,".","-",".","XLOC_056175","TCONS_00146465","=",2,"1700003I16Rik","ENSMUST00000205198.1","ENSMUST00000205198.1","TSS92838"
"chr1","Cufflinks","exon",56019856,56020203,".","+",".","XLOC_000706","TCONS_00001850","=",2,"1700003I22Rik","ENSMUST00000186048.1","ENSMUST00000186048.1","TSS1089"
"chr16","Cufflinks","exon",12847127,12847305,".","+",".","XLOC_024748","TCONS_00061589","=",4,"1700003L19Rik","ENSMUST00000190074.1","ENSMUST00000190074.1","TSS39688"
"chr4","Cufflinks","exon",129961199,129961280,".","+",".","XLOC_045166","TCONS_00115390","=",3,"1700003M07Rik","ENSMUST00000147634.7","ENSMUST00000147634.7","TSS73591"
"chr13","Cufflinks","exon",118564993,118565139,".","+",".","XLOC_017158","TCONS_00044451","=",2,"1700003P14Rik","ENSMUST00000185602.6","ENSMUST00000185959.1","TSS28142"
"chr14","Cufflinks","exon",119750112,119750218,".","+",".","XLOC_020427","TCONS_00051752","=",2,"1700006F04Rik","ENSMUST00000188582.1","ENSMUST00000188582.1","TSS33012"
"chr13","Cufflinks","exon",107687397,107687584,".","+",".","XLOC_016966","TCONS_00043962","=",1,"1700006H21Rik","ENSMUST00000188960.6","ENSMUST00000188490.1","TSS27883"
"chr10","Cufflinks","exon",120371257,120371304,".","+",".","XLOC_006779","TCONS_00018299","=",3,"1700006J14Rik","ENSMUST00000041178.11","ENSMUST00000160091.7","TSS11184"
"chr1","Cufflinks","exon",137325434,137325842,".","-",".","XLOC_004324","TCONS_00011610","=",1,"1700006P03Rik","ENSMUST00000191810.1","ENSMUST00000191810.1","TSS7135"
"chr3","Cufflinks","exon",58148315,58148510,".","-",".","XLOC_041730","TCONS_00106401","=",3,"1700007F19Rik","ENSMUST00000188418.1","ENSMUST00000188418.1","TSS67904"
"chr11","Cufflinks","exon",59730048,59730182,".","-",".","XLOC_011100","TCONS_00030217","=",2,"1700007J10Rik","ENSMUST00000139530.7","ENSMUST00000153431.1","TSS18836"
"chr16","Cufflinks","exon",33380516,33380727,".","-",".","XLOC_026138","TCONS_00065325","=",2,"1700007L15Rik","ENSMUST00000180923.1","ENSMUST00000180923.1","TSS42010"
"chr2","Cufflinks","exon",171234009,171234116,".","+",".","XLOC_036450","TCONS_00090858","=",1,"1700007M16Rik","ENSMUST00000129075.1","ENSMUST00000129075.1","TSS58590"
"chr1","Cufflinks","exon",187127562,187127852,".","+",".","XLOC_002706","TCONS_00006967","=",3,"1700007P06Rik","ENSMUST00000160380.2","ENSMUST00000160380.2","TSS4287"
"chr9","Cufflinks","exon",99322826,99323516,".","+",".","XLOC_066560","TCONS_00175071","=",1,"1700008A23Rik","ENSMUST00000191694.1","ENSMUST00000191694.1","TSS110384"
"chr5","Cufflinks","exon",121835195,121835828,".","+",".","XLOC_049322","TCONS_00127577","=",1,"1700008B11Rik","ENSMUST00000198145.1","ENSMUST00000198145.1","TSS81121"
"chr5","Cufflinks","exon",82119679,82121362,".","-",".","XLOC_050730","TCONS_00131684","=",1,"1700008H02Rik","ENSMUST00000201220.1","ENSMUST00000201220.1","TSS83724"
"chr7","Cufflinks","exon",127510438,127512869,".","-",".","XLOC_061333","TCONS_00161639","=",1,"1700008J07Rik","ENSMUST00000185351.1","ENSMUST00000185351.1","TSS102036"
"chr17","Cufflinks","exon",49112373,49112849,".","-",".","XLOC_028785","TCONS_00072847","=",1,"1700008K24Rik","ENSMUST00000185974.6","ENSMUST00000186479.1","TSS46642"
"chr6","Cufflinks","exon",81908011,81908031,".","-",".","XLOC_054965","TCONS_00143317","=",3,"1700009C05Rik","ENSMUST00000191101.1","ENSMUST00000191101.1","TSS90896"
"chr10","Cufflinks","exon",77893428,77894511,".","+",".","XLOC_006141","TCONS_00016614","=",1,"1700009J07Rik","ENSMUST00000185309.1","ENSMUST00000185513.1","TSS10158"
"chr15","Cufflinks","exon",73651997,73652347,".","+",".","XLOC_022584","TCONS_00056518","=",2,"1700010B13Rik","ENSMUST00000189435.1","ENSMUST00000189435.1","TSS36237"
"chrX","Cufflinks","exon",95732586,95732808,".","-",".","XLOC_071311","TCONS_00187972","=",1,"1700010D01Rik","ENSMUST00000096366.5","ENSMUST00000096366.5","TSS118221"
"chr5","Cufflinks","exon",98566431,98566926,".","-",".","XLOC_050912","TCONS_00132151","=",3,"1700010H22Rik","ENSMUST00000189748.1","ENSMUST00000189748.1","TSS84028"
"chr3","Cufflinks","exon",7943534,7943562,".","-",".","XLOC_041165","TCONS_00105119","=",3,"1700010I02Rik","ENSMUST00000188525.5","ENSMUST00000188525.5","TSS67074"
"chr10","Cufflinks","exon",112785443,112785599,".","+",".","XLOC_006706","TCONS_00018106","=",4,"1700010J16Rik","ENSMUST00000187828.6","ENSMUST00000187828.6","TSS11070"
"chr16","Cufflinks","exon",66660045,66660105,".","+",".","XLOC_025503","TCONS_00063581","=",2,"1700010K23Rik","ENSMUST00000174502.1","ENSMUST00000174502.1","TSS40920"
"chr3","Cufflinks","exon",108248909,108249026,".","-",".","XLOC_042519","TCONS_00108574","=",1,"1700010K24Rik","ENSMUST00000125852.1","ENSMUST00000125852.1","TSS69299"
"chr7","Cufflinks","exon",82859305,82859848,".","+",".","XLOC_057730","TCONS_00150953","=",4,"1700010L04Rik","ENSMUST00000179662.7","ENSMUST00000178848.5","TSS95522"
"chr13","Cufflinks","exon",35180267,35182749,".","+",".","XLOC_016042","TCONS_00041884","=",1,"1700011B04Rik","ENSMUST00000189905.1","ENSMUST00000189905.1","TSS26624"
"chr7","Cufflinks","exon",72027095,72027317,".","+",".","XLOC_057589","TCONS_00150607","=",3,"1700011C11Rik","ENSMUST00000205268.1","ENSMUST00000205268.1","TSS95282"
"chr7","Cufflinks","exon",78847254,78847530,".","+",".","XLOC_057659","TCONS_00150751","=",1,"1700011D18Rik","ENSMUST00000205762.1","ENSMUST00000205762.1","TSS95382"
"chr6","Cufflinks","exon",30462961,30463313,".","+",".","XLOC_052146","TCONS_00135942","=",2,"1700012C14Rik","ENSMUST00000143687.1","ENSMUST00000132023.1","TSS86407"
"chr3","Cufflinks","exon",153296504,153297007,".","-",".","XLOC_043239","TCONS_00110427","=",1,"1700012D16Rik","ENSMUST00000197231.1","ENSMUST00000197231.1","TSS70534"
"chr1","Cufflinks","exon",120437394,120438455,".","+",".","XLOC_001723","TCONS_00004440","=",2,"1700012E03Rik","ENSMUST00000186237.1","ENSMUST00000186237.1","TSS2695"
"chr15","Cufflinks","exon",67138558,67139068,".","-",".","XLOC_023809","TCONS_00059393","x",1,"1700012I11Rik","ENSMUST00000187233.1","CUFF.19689.1","TSS38191"
"chr13","Cufflinks","exon",99641974,99642803,".","+",".","XLOC_016881","TCONS_00043803","=",1,"1700012J22Rik","ENSMUST00000193492.1","ENSMUST00000193492.1","TSS27773"
"chr5","Cufflinks","exon",148553217,148553861,".","-",".","XLOC_051701","TCONS_00134839","=",1,"1700013A02Rik","ENSMUST00000202969.1","ENSMUST00000202969.1","TSS85706"
"chr12","Cufflinks","exon",106878677,106878841,".","+",".","XLOC_013798","TCONS_00037119","=",5,"1700013N06Rik","ENSMUST00000156376.1","ENSMUST00000156376.1","TSS23368"
"chr5","Cufflinks","exon",60940938,60941049,".","-",".","XLOC_050492","TCONS_00131008","=",1,"1700014F14Rik","ENSMUST00000199566.1","ENSMUST00000199566.1","TSS83293"
"chr3","Cufflinks","exon",153475491,153475564,".","-",".","XLOC_043250","TCONS_00110439","=",2,"1700015C17Rik","ENSMUST00000197297.1","ENSMUST00000197297.1","TSS70545"
"chr6","Cufflinks","exon",113632362,113632572,".","-",".","XLOC_055570","TCONS_00144778","=",2,"1700015O11Rik","ENSMUST00000180964.2","ENSMUST00000180964.2","TSS91826"
"chr7","Cufflinks","exon",118740449,118741181,".","-",".","XLOC_061196","TCONS_00161077","=",1,"1700016B15Rik","ENSMUST00000209027.1","ENSMUST00000209027.1","TSS101722"
"chr16","Cufflinks","exon",3908825,3909192,".","-",".","XLOC_025808","TCONS_00064332","=",1,"1700016D08Rik","ENSMUST00000195807.1","ENSMUST00000195807.1","TSS41392"
"chr5","Cufflinks","exon",96849505,96849680,".","+",".","XLOC_048865","TCONS_00126279","=",1,"1700016F12Rik","ENSMUST00000198159.1","ENSMUST00000198159.1","TSS80323"
"chr13","Cufflinks","exon",24741232,24741560,".","+",".","XLOC_015929","TCONS_00041627","=",1,"1700016G14Rik","ENSMUST00000136906.1","ENSMUST00000136906.1","TSS26478"
"chr13","Cufflinks","exon",5669974,5670604,".","-",".","XLOC_017198","TCONS_00044590","u",2,"1700016G22Rik","ENSMUST00000186843.1","CUFF.10466.37","TSS28211"
"chr1","Cufflinks","exon",80476614,80476688,".","+",".","XLOC_001159","TCONS_00003082","=",2,"1700016L21Rik","ENSMUST00000187497.1","ENSMUST00000189139.1","TSS1832"
"chr11","Cufflinks","exon",75176993,75177633,".","+",".","XLOC_009557","TCONS_00025601","=",3,"1700016P03Rik","ENSMUST00000134252.1","ENSMUST00000134252.1","TSS15846"
"chr6","Cufflinks","exon",13415782,13415996,".","+",".","XLOC_051941","TCONS_00135382","=",2,"1700016P04Rik","ENSMUST00000186770.1","ENSMUST00000186770.1","TSS86081"
"chr3","Cufflinks","exon",40506919,40507021,".","-",".","XLOC_041542","TCONS_00105989","j",2,"1700017G19Rik","ENSMUST00000035860.6","CUFF.34759.2","TSS67622"
"chr9","Cufflinks","exon",89802870,89802933,".","+",".","XLOC_066378","TCONS_00174667","=",1,"1700017I07Rik","ENSMUST00000184823.1","ENSMUST00000184823.1","TSS110123"
"chr2","Cufflinks","exon",168978268,168978560,".","+",".","XLOC_036355","TCONS_00090700","=",1,"1700017J07Rik","ENSMUST00000140241.1","ENSMUST00000140241.1","TSS58464"
"chr5","Cufflinks","exon",77465488,77465817,".","+",".","XLOC_048651","TCONS_00125698","=",1,"1700017L05Rik","ENSMUST00000201654.1","ENSMUST00000201654.1","TSS79995"
"chr13","Cufflinks","exon",31567474,31567613,".","-",".","XLOC_017639","TCONS_00045455","j",3,"1700018A04Rik","ENSMUST00000150418.7","CUFF.11034.2","TSS28802"
"chr18","Cufflinks","exon",46358435,46358614,".","+",".","XLOC_030088","TCONS_00075569","o",2,"1700018A14Rik","ENSMUST00000195587.1","CUFF.26115.1","TSS48588"
"chr3","Cufflinks","exon",48608698,48609102,".","-",".","XLOC_041593","TCONS_00106092","=",2,"1700018B24Rik","ENSMUST00000036023.2","ENSMUST00000036023.2","TSS67695"
"chr19","Cufflinks","exon",29046245,29048729,".","+",".","XLOC_031952","TCONS_00079887","=",1,"1700018L02Rik","ENSMUST00000187897.1","ENSMUST00000187897.1","TSS51400"
"chr7","Cufflinks","exon",30539666,30539861,".","+",".","XLOC_056915","TCONS_00148565","=",1,"1700019A23Rik","ENSMUST00000208842.1","ENSMUST00000208842.1","TSS94116"
"chrX","Cufflinks","exon",62526828,62527011,".","-",".","XLOC_071008","TCONS_00187156","=",3,"1700019B21Rik","ENSMUST00000133350.7","ENSMUST00000129479.1","TSS117739"
"chr2","Cufflinks","exon",45696605,45696629,".","+",".","XLOC_034431","TCONS_00085791","=",1,"1700019E08Rik","ENSMUST00000153567.1","ENSMUST00000153567.1","TSS55358"
"chr6","Cufflinks","exon",5969130,5969267,".","-",".","XLOC_054145","TCONS_00141200","=",2,"1700019G24Rik","ENSMUST00000130004.1","ENSMUST00000130004.1","TSS89596"
"chr1","Cufflinks","exon",138876272,138876645,".","-",".","XLOC_004341","TCONS_00011669","=",1,"1700019P21Rik","ENSMUST00000186955.2","ENSMUST00000186955.2","TSS7164"
"chr10","Cufflinks","exon",110896317,110896537,".","-",".","XLOC_008145","TCONS_00021970","=",3,"1700020G17Rik","ENSMUST00000188776.6","ENSMUST00000190237.1","TSS13515"
"chr2","Cufflinks","exon",119596259,119596511,".","+",".","XLOC_035396","TCONS_00088043","=",2,"1700020I14Rik","ENSMUST00000147425.1","ENSMUST00000153581.1","TSS56837"
"chr9","Cufflinks","exon",120913774,120914090,".","-",".","XLOC_068539","TCONS_00181112","=",1,"1700020M21Rik","ENSMUST00000188320.1","ENSMUST00000188320.1","TSS114138"
"chr1","Cufflinks","exon",91404879,91405182,".","-",".","XLOC_003919","TCONS_00010444","=",1,"1700020N18Rik","ENSMUST00000188956.1","ENSMUST00000188956.1","TSS6359"
"chr10","Cufflinks","exon",21419358,21419384,".","+",".","XLOC_005386","TCONS_00014911","=",1,"1700021A07Rik","ENSMUST00000188024.1","ENSMUST00000188024.1","TSS9032"
"chr5","Cufflinks","exon",119807588,119807667,".","-",".","XLOC_051215","TCONS_00133239","=",2,"1700021F13Rik","ENSMUST00000202665.1","ENSMUST00000202127.1","TSS84635"
"chr4","Cufflinks","exon",117002166,117002571,".","-",".","XLOC_046779","TCONS_00120220","=",1,"1700021J08Rik","ENSMUST00000138729.1","ENSMUST00000138729.1","TSS76532"
"chr4","Cufflinks","exon",124311329,124311461,".","-",".","XLOC_046927","TCONS_00120723","=",2,"1700021L23Rik","ENSMUST00000153719.1","ENSMUST00000153719.1","TSS76837"
"chr4","Cufflinks","exon",134448766,134449368,".","-",".","XLOC_047107","TCONS_00121395","=",1,"1700021N21Rik","ENSMUST00000131110.1","ENSMUST00000131110.1","TSS77235"
"chr19","Cufflinks","exon",24066000,24066452,".","+",".","XLOC_031905","TCONS_00079750","=",2,"1700021P04Rik","ENSMUST00000178667.1","ENSMUST00000178667.1","TSS51314"
"chr15","Cufflinks","exon",46324559,46325119,".","+",".","XLOC_022316","TCONS_00055850","=",1,"1700022A22Rik","ENSMUST00000187130.6","ENSMUST00000187130.6","TSS35848"
"chr16","Cufflinks","exon",59467997,59468137,".","-",".","XLOC_026355","TCONS_00065987","=",2,"1700022E09Rik","ENSMUST00000185295.1","ENSMUST00000188342.1","TSS42393"
"chr12","Cufflinks","exon",28474178,28474225,".","-",".","XLOC_014504","TCONS_00038485","=",2,"1700022F17Rik","ENSMUST00000185916.1","ENSMUST00000185916.1","TSS24339"
"chr12","Cufflinks","exon",9570206,9570383,".","-",".","XLOC_014262","TCONS_00038018","=",3,"1700022H16Rik","ENSMUST00000188935.1","ENSMUST00000188935.1","TSS24007"
"chr17","Cufflinks","exon",25985815,25986036,".","+",".","XLOC_027124","TCONS_00068032","=",1,"1700022N22Rik","ENSMUST00000180932.1","ENSMUST00000180932.1","TSS43665"
"chr11","Cufflinks","exon",109848317,109848476,".","+",".","XLOC_010220","TCONS_00027664","=",3,"1700023C21Rik","ENSMUST00000143247.1","ENSMUST00000143247.1","TSS17183"
"chr10","Cufflinks","exon",66121951,66122032,".","-",".","XLOC_007629","TCONS_00020419","=",2,"1700023F02Rik","ENSMUST00000190260.6","ENSMUST00000188279.1","TSS12528"
"chr1","Cufflinks","exon",186929211,186930112,".","+",".","XLOC_002702","TCONS_00006961","=",3,"1700023G09Rik","ENSMUST00000194513.1","CUFF.3049.1","TSS4282"
"chr13","Cufflinks","exon",80771248,80771256,".","-",".","XLOC_018286","TCONS_00047209","o",1,"1700023H06Rik","ENSMUST00000161006.1","CUFF.13200.1","TSS29890"
"chr14","Cufflinks","exon",124013691,124013739,".","+",".","XLOC_020501","TCONS_00051872","=",3,"1700024B18Rik","ENSMUST00000190088.1","ENSMUST00000190088.1","TSS33108"
"chr5","Cufflinks","exon",67607218,67607826,".","-",".","XLOC_050568","TCONS_00131272","=",1,"1700025A08Rik","ENSMUST00000200753.1","ENSMUST00000200753.1","TSS83457"
"chr11","Cufflinks","exon",114091406,114091870,".","+",".","XLOC_010243","TCONS_00027729","=",1,"1700025D23Rik","ENSMUST00000129365.1","ENSMUST00000129365.1","TSS17226"
"chr10","Cufflinks","exon",119413444,119413619,".","+",".","XLOC_006774","TCONS_00018248","=",1,"1700025F24Rik","ENSMUST00000185238.1","ENSMUST00000185238.1","TSS11163"
"chr16","Cufflinks","exon",30072561,30072571,".","+",".","XLOC_024987","TCONS_00062396","o",1,"1700025H01Rik","ENSMUST00000187479.1","CUFF.21407.1","TSS40139"
"chr7","Cufflinks","exon",121589903,121590370,".","+",".","XLOC_058427","TCONS_00152865","=",1,"1700025J12Rik","ENSMUST00000205586.1","ENSMUST00000205586.1","TSS96709"
"chr17","Cufflinks","exon",54358429,54358524,".","-",".","XLOC_028838","TCONS_00072957","=",2,"1700025K24Rik","ENSMUST00000190635.1","ENSMUST00000190635.1","TSS46722"
